nodeid	nodelen	ys	tunisia	bhagwa	taishanhong	dabenzi	azerbaijan
s1	32117	0.998194	0.778217	0.781455	0.780085	0.774232	0.722048
s2	50871	1	1	1	1	1	1
s3	202	1	0	1	0	1	1
s4	133	1	1	1	1	1	1
s5	20677	1	1	1	1	1	1
s6	467	1	1	1	1	1	0
s7	5029	1	1	1	1	1	1
s8	51	1	1	1	1	0	1
s9	9292	1	1	1	1	1	1
s10	595	1	1	1	1	1	1
s11	8	1	1	1	1	0	1
s12	75736	1	1	1	0.879489	1	0.669616
s13	161	1	0	1	1	1	0
s14	20433	1	1	1	1	1	0
s15	169	1	1	1	1	0	0
s16	38273	1	1	1	1	1	0
s17	9817	1	1	1	1	1	0
s18	27444	1	1	1	1	1	0.929274
s19	3854	1	1	1	0	1	0
s20	700	1	1	1	0	0	0
s21	164	1	1	1	0	1	0
s22	49852	1	1	1	1	1	1
s23	117	1	1	1	0	1	1
s24	76894	1	1	1	1	1	0.692746
s25	12931	1	1	1	1	1	0
s26	3902	1	1	1	1	1	0
s27	59935	1	1	1	1	1	0.997981
s28	1677	1	1	0	0	0	0
s29	13665	1	1	1	1	1	1
s30	3	1	1	1	1	0	1
s31	13194	1	1	1	1	1	1
s32	20471	1	1	1	1	1	1
s33	69684	1	1	1	1	1	0.879972
s34	9922	1	1	1	1	0	0
s35	121657	1	1	1	1	1	1
s36	4630	1	1	1	0	0	0
s37	112773	1	1	1	1	1	0.834358
s38	15262	1	1	1	0	0	0
s39	675	1	1	1	0	1	0
s40	10685	1	1	1	1	1	0.140477
s41	77117	1	1	1	1	1	1
s42	1580	1	1	1	1	0	1
s43	78299	1	1	1	1	1	1
s44	3218	1	1	1	1	1	1
s45	20452	1	1	1	1	1	1
s46	114	1	1	1	0	1	1
s47	142	1	0	1	0	1	0
s48	91	1	0	1	0	1	0
s49	5757	1	0	1	1	1	0
s50	92	1	0	1	0	1	0
s51	266	1	0	1	1	1	0
s52	114	1	0	1	0	0	0
s53	144	1	1	1	0	0	1
s54	91	1	1	1	0	1	1
s55	3470	1	1	1	1	1	1
s56	385	1	1	1	1	1	1
s57	1722	1	1	1	1	0	0
s58	4478	1	1	1	1	1	1
s59	278	1	1	1	1	0	1
s60	65496	1	1	1	1	1	1
s61	4	1	1	1	1	0	1
s62	635	1	1	1	1	0	1
s63	26763	1	1	1	1	1	1
s64	72259	1	1	1	1	1	1
s65	381	1	0	0	0	0	0
s66	43591	1	1	1	1	1	1
s67	189	1	1	1	0	0	1
s68	6153	1	1	1	1	1	1
s69	179	1	0	1	1	1	1
s70	6378	1	1	1	1	1	1
s71	49750	1	1	1	1	1	1
s72	63	1	1	1	0	1	1
s73	49669	1	1	1	1	1	0.954881
s74	87	1	0	0	0	0	0
s75	91515	1	1	1	1	1	1
s76	58	1	1	1	1	0	1
s77	2493	1	1	1	1	1	1
s78	12	1	1	1	1	0	1
s79	5	1	1	1	0	0	0
s80	16	1	1	1	0	1	0
s81	39620	1	1	1	1	1	1
s82	30757	1	1	1	1	1	1
s83	66970	1	1	1	1	1	1
s84	111	1	1	1	0	1	1
s85	3164	1	1	1	1	1	1
s86	466	1	1	1	0	1	0
s87	122272	1	1	1	1	1	0.999877
s88	156	1	1	1	1	0	1
s89	42827	1	1	1	1	1	1
s90	8	1	1	1	1	0	1
s91	84218	1	1	1	1	1	1
s92	62	1	0	1	1	1	0
s93	25771	1	1	1	1	1	0.896706
s94	200	1	1	1	0	1	0
s95	3265	1	1	1	1	1	0
s96	87	1	1	1	1	0	0
s97	95380	1	1	1	1	1	0.969732
s98	435	1	1	1	0	1	0
s99	248	1	1	1	1	1	0
s100	639	1	1	1	0	1	0
s101	244321	1	1	1	1	1	0.910319
s102	46515	1	1	1	1	1	1
s103	64415	1	1	1	1	1	1
s104	40850	1	1	1	1	1	1
s105	24155	1	1	1	1	1	1
s106	50979	1	1	1	1	1	1
s107	40355	1	1	1	1	1	1
s108	5670	1	1	1	1	1	1
s109	161	1	1	1	0	0	0
s110	7467	1	1	1	1	1	1
s111	68337	1	1	1	1	1	1
s112	70	1	1	1	0	0	0
s113	171551	1	1	1	1	1	1
s114	8348	1	0	1	1	1	1
s115	481	1	0	1	1	1	1
s116	20574	1	1	1	1	1	1
s117	1	1	1	1	1	0	0
s118	52228	1	1	1	1	1	1
s119	12	1	0	1	1	1	0
s120	23031	1	1	1	1	1	1
s121	4	1	1	1	1	1	0
s122	29203	1	1	1	1	0	0
s123	81813	1	1	1	1	1	0.860548
s124	3170	1	1	1	1	1	0
s125	39626	1	1	1	1	1	0.970852
s126	3979	1	1	1	1	1	1
s127	26717	1	1	1	1	1	1
s128	48887	1	1	1	1	1	1
s129	90370	1	1	1	1	1	0.999579
s130	1	1	1	1	1	0	0
s131	65711	1	1	1	1	1	0.983351
s132	8555	1	1	1	1	0	1
s133	57595	1	1	1	1	1	0.514715
s134	16	1	0	0	1	1	0
s135	3649	1	1	1	1	1	0
s136	1084	1	0	0	1	1	0
s137	377	1	1	1	1	1	0
s138	741	1	0	0	1	1	0
s139	718	1	1	1	1	1	0
s140	1892	1	1	1	1	1	1
s141	2833	1	1	1	1	1	1
s142	453	1	0	0	1	1	0
s143	243	1	0	0	0	1	0
s144	4053	1	0	0	0	0	0
s145	442	1	0	0	0	1	0
s146	254	1	0	0	1	1	0
s147	7253	1	1	1	1	1	1
s148	8	1	1	1	0	1	1
s149	18482	1	1	1	1	1	1
s150	158	1	1	1	1	1	1
s151	700	1	0	0	1	1	0
s152	42284	1	1	1	1	1	1
s153	132506	1	1	1	1	1	1
s154	201	1	1	1	0	1	1
s155	36870	1	1	1	1	1	1
s156	18976	1	1	1	1	1	1
s157	20028	1	1	1	1	1	1
s158	5808	1	0	0	0	0	0
s159	4	1	1	1	1	1	1
s160	27721	1	1	1	1	1	1
s161	695	1	0	0	1	0	0
s162	20	1	0	0	1	1	0
s163	52233	1	1	1	1	1	1
s164	97018	1	1	1	1	1	0.949927
s165	3514	1	1	1	0.772339	0	0
s166	1309	1	1	1	0	1	0
s167	65	1	1	0	0	1	0
s168	3444	1	1	1	0.736934	1	0
s169	490	1	1	1	0	1	0
s170	27090	1	1	1	1	1	0
s171	101	1	0	1	0	1	0
s172	21315	1	1	1	1	1	0
s173	11907	1	1	1	1	1	0
s174	8647	1	1	1	1	1	0
s175	308	1	0	0	0	0	0
s176	4	1	1	1	1	1	0
s177	430	1	1	1	1	0	0
s178	15401	1	1	1	1	1	0
s179	16901	1	0	1	1	0	0
s180	15001	1	1	1	1	1	0
s181	40	1	1	1	0	1	0
s182	58	1	1	1	0	0	0
s183	34	1	1	1	0	1	0
s184	6229	1	1	1	1	1	0.998716
s185	82	1	1	1	1	0	1
s186	44899	1	1	1	1	1	1
s187	2	1	0	0	1	1	0
s188	67963	1	1	1	1	1	1
s189	58284	1	1	1	1	1	0.571958
